Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Agostini Giacomo,122,35.0,2.0,9.0,15.0,IT,663.5,0.8309329993738259
Rossi Valentino,115,67.0,53.0,65.0,9.0,IT,798.5,1.0
Nieto Angel,90,35.0,14.0,34.0,13.0,ES,573.0,0.7175954915466499
Marquez Marc,85,36.0,17.0,90.0,8.0,ES,612.0,0.7664370695053225
Hailwood Mike,76,25.0,11.0,0.0,9.0,GB,419.0,0.5247338760175329
Lorenzo Jorge,68,51.0,33.0,69.0,5.0,ES,540.5,0.6768941765810895
Pedrosa Dani,54,52.0,47.0,49.0,3.0,ES,458.5,0.5742016280525987
Doohan Mick,54,31.0,10.0,58.0,5.0,AU,405.0,0.5072010018785222
Read Phil,52,44.0,25.0,5.0,7.0,GB,370.5,0.46399499060738886
Redman Jim,45,33.0,20.0,0.0,6.0,0,302.0,0.37820914214151535
Stoner Casey,45,17.0,27.0,43.0,2.0,AU,317.5,0.3976205385097057
Biaggi Max,42,41.0,28.0,56.0,4.0,IT,386.0,0.4834063869755792
Mang Anton,42,25.0,17.0,34.0,5.0,DE,316.0,0.39574201628052597
Ubbiali Carlo,39,20.0,9.0,0.0,9.0,IT,259.0,0.32435817157169694
Surtees John,38,4.0,3.0,0.0,7.0,GB,205.0,0.2567313713212273
Martinez Jorge,37,14.0,10.0,42.0,4.0,ES,273.0,0.34189104571070755
Cadalora Luca,34,22.0,16.0,29.0,3.0,IT,257.5,0.3224796493425172
Duke Geoff,33,7.0,10.0,0.0,6.0,GB,192.0,0.24045084533500313
Lawson Eddie,31,31.0,16.0,18.0,4.0,US,253.0,0.3168440826549781
Ballington Kork,31,9.0,6.0,19.0,4.0,ZA,200.5,0.2510958046336882
Taveri Luigi,30,33.0,26.0,0.0,3.0,CH,230.0,0.28804007514088914
Capirossi Loris,29,34.0,36.0,41.0,3.0,IT,299.5,0.37507827175954916
Lazzarini Eugenio,27,35.0,19.0,35.0,3.0,IT,267.5,0.33500313087038197
Bianchi Pierpaolo,27,17.0,17.0,32.0,3.0,IT,225.0,0.2817783343769568
Spencer Freddie,27,10.0,2.0,33.0,3.0,US,197.5,0.24733876017532874
Viñales Maverick,25,23.0,20.0,24.0,1.0,ES,208.0,0.2604884157795867
Schwantz Kevin,25,13.0,13.0,29.0,1.0,US,188.5,0.23606762680025048
Anderson Hugh,25,12.0,11.0,0.0,4.0,NZ,159.0,0.19912335629304947
Dovizioso Andrea,24,39.0,40.0,20.0,1.0,IT,250.0,0.31308703819661865
Rainey Wayne,24,22.0,19.0,16.0,3.0,US,201.0,0.2517219787100814
Roberts Kenny,24,14.0,6.0,22.0,3.0,US,181.0,0.2266750156543519
Villa Walter,24,6.0,6.0,21.0,4.0,IT,169.5,0.21227301189730746
Sheene Barry,23,13.0,16.0,19.0,2.0,GB,174.5,0.2185347526612398
Melandri Marco,22,20.0,20.0,9.0,1.0,IT,167.5,0.2097683155917345
Gresini Fausto,21,15.0,11.0,17.0,2.0,IT,162.5,0.20350657482780213
Ivy Bill,21,15.0,6.0,0.0,1.0,GB,126.0,0.15779586725109582
Criville Alex,20,21.0,25.0,12.0,2.0,ES,177.0,0.221665623043206
Waldmann Ralf,20,15.0,15.0,10.0,0.0,DE,140.0,0.17532874139010646
Provini Tarquinio,20,10.0,9.0,0.0,2.0,IT,121.0,0.15153412648716344
Lavado Carlos,19,15.0,8.0,22.0,2.0,VE,159.0,0.19912335629304947
Hocking Gary,19,12.0,2.0,0.0,2.0,0,114.0,0.1427676894176581
Tormo Ricardo,19,11.0,6.0,23.0,2.0,ES,150.5,0.18847839699436444
Dörflinger Stefan,18,27.0,13.0,34.0,4.0,CH,214.0,0.2680025046963056
Gardner Wayne,18,20.0,14.0,19.0,1.0,AU,160.5,0.20100187852222917
Andersson Kent,18,15.0,20.0,4.0,2.0,SE,140.0,0.17532874139010646
Harada Tetsuya,17,26.0,12.0,21.0,1.0,JP,169.5,0.21227301189730746
Luthi Thomas,17,23.0,25.0,12.0,1.0,CH,163.0,0.20413274890419536
Elias Toni,17,13.0,13.0,12.0,1.0,ES,131.0,0.16405760801502817
Binder Brad,17,13.0,8.0,7.0,1.0,ZA,118.5,0.14840325610519725
Kato Daijiro,17,5.0,5.0,11.0,1.0,JP,105.5,0.13212273011897308
Kallio Mika,16,24.0,9.0,18.0,0.0,FI,148.0,0.18534752661239826
Zarco Johann,16,22.0,16.0,26.0,2.0,FR,175.0,0.21916092673763307
Terol Nicolas,16,17.0,6.0,9.0,1.0,ES,123.5,0.15466499686912963
Bautista Alvaro,16,15.0,18.0,18.0,1.0,ES,145.0,0.18159048215403883
Oliveira Miguel,16,13.0,11.0,5.0,0.0,PT,108.5,0.1358797745773325
Rins Alex,15,23.0,17.0,17.0,0.0,ES,148.5,0.1859737006887915
